N, power, exponent
30, 0.0626, 0.7
90, 0.0832, 0.7
150, 0.1218, 0.7
210, 0.1584, 0.7
270, 0.24, 0.7
330, 0.2794, 0.7
390, 0.385, 0.7
450, 0.458, 0.7
510, 0.542, 0.7
570, 0.6298, 0.7
30, 0.0588, 0.8
90, 0.1064, 0.8
150, 0.1456, 0.8
210, 0.229, 0.8
270, 0.3738, 0.8
330, 0.518, 0.8
390, 0.591, 0.8
450, 0.7362, 0.8
510, 0.8522, 0.8
570, 0.8866, 0.8
30, 0.0618, 0.9
90, 0.1108, 0.9
150, 0.202, 0.9
210, 0.312, 0.9
270, 0.5318, 0.9
330, 0.6784, 0.9
390, 0.8418, 0.9
450, 0.9194, 0.9
510, 0.9616, 0.9
570, 0.9772, 0.9
30, 0.0602, 1
90, 0.129, 1
150, 0.2346, 1
210, 0.4376, 1
270, 0.667, 1
330, 0.8434, 1
390, 0.9444, 1
450, 0.9726, 1
510, 0.9822, 1
570, 0.986, 1
30, 0.0576, 1.1
90, 0.098, 1.1
150, 0.1626, 1.1
210, 0.2676, 1.1
270, 0.4554, 1.1
330, 0.609, 1.1
390, 0.7416, 1.1
450, 0.8754, 1.1
510, 0.933, 1.1
570, 0.9558, 1.1
30, 0.0518, 1.2
90, 0.078, 1.2
150, 0.1276, 1.2
210, 0.198, 1.2
270, 0.2892, 1.2
330, 0.3648, 1.2
390, 0.5154, 1.2
450, 0.663, 1.2
510, 0.7474, 1.2
570, 0.8446, 1.2
30, 0.0516, 1.3
90, 0.0846, 1.3
150, 0.11, 1.3
210, 0.158, 1.3
270, 0.1938, 1.3
330, 0.268, 1.3
390, 0.3844, 1.3
450, 0.4476, 1.3
510, 0.497, 1.3
570, 0.642, 1.3
30, 0.0508, 1.4
90, 0.0644, 1.4
150, 0.0928, 1.4
210, 0.1272, 1.4
270, 0.1476, 1.4
330, 0.1924, 1.4
390, 0.2726, 1.4
450, 0.3484, 1.4
510, 0.3952, 1.4
570, 0.4222, 1.4
