N,eps_frac,Power
30,0.5,0.042
90,0.5,0.054
150,0.5,0.154
210,0.5,0.348
270,0.5,0.644
330,0.5,0.844
390,0.5,0.934
450,0.5,0.974
510,0.5,0.994
570,0.5,0.998
630,0.5,0.996
690,0.5,1
750,0.5,0.998
30,0.55,0.044
90,0.55,0.06
150,0.55,0.142
210,0.55,0.376
270,0.55,0.722
330,0.55,0.878
390,0.55,0.97
450,0.55,0.976
510,0.55,0.996
570,0.55,0.996
630,0.55,1
690,0.55,1
750,0.55,1
30,0.6,0.032
90,0.6,0.056
150,0.6,0.138
210,0.6,0.438
270,0.6,0.762
330,0.6,0.92
390,0.6,0.97
450,0.6,0.992
510,0.6,0.998
570,0.6,0.994
630,0.6,0.998
690,0.6,1
750,0.6,1
30,0.65,0.036
90,0.65,0.09
150,0.65,0.176
210,0.65,0.436
270,0.65,0.756
330,0.65,0.922
390,0.65,0.96
450,0.65,0.994
510,0.65,0.992
570,0.65,0.994
630,0.65,0.998
690,0.65,1
750,0.65,1
30,0.7,0.046
90,0.7,0.08
150,0.7,0.156
210,0.7,0.472
270,0.7,0.782
330,0.7,0.932
390,0.7,0.972
450,0.7,0.988
510,0.7,0.998
570,0.7,0.998
630,0.7,1
690,0.7,1
750,0.7,1
30,0.75,0.056
90,0.75,0.07
150,0.75,0.21
210,0.75,0.434
270,0.75,0.744
330,0.75,0.91
390,0.75,0.97
450,0.75,0.996
510,0.75,0.996
570,0.75,0.998
630,0.75,1
690,0.75,1
750,0.75,1
