N,eps,Power,stat
3,0.1,0.05,F2
3,1,0.05,F2
3,10,0.05,F2
3,Public,0.05,F2
6,0.1,0.05553846153846154,F2
6,1,0.05353846153846154,F2
6,10,0.06646153846153846,F2
6,Public,0.2373076923076923,F2
12,0.1,0.06553846153846155,F2
12,1,0.04830769230769231,F2
12,10,0.052384615384615384,F2
12,Public,0.49015384615384616,F2
30,0.1,0.07784615384615384,F2
30,1,0.05930769230769231,F2
30,10,0.08876923076923077,F2
30,Public,0.9755384615384616,F2
51,0.1,0.09076923076923077,F2
51,1,0.06461538461538462,F2
51,10,0.09776923076923077,F2
51,Public,1,F2
75,0.1,0.047,F2
75,1,0.05684615384615385,F2
75,10,0.06523076923076923,F2
75,Public,1,F2
150,0.1,0.08923076923076922,F2
150,1,0.05969230769230769,F2
150,10,0.16646153846153847,F2
150,Public,1,F2
300,0.1,0.052153846153846155,F2
300,1,0.06846153846153846,F2
300,10,0.5170769230769231,F2
300,Public,1,F2
399,0.1,0.054,F2
399,1,0.06584615384615385,F2
399,10,0.7123846153846154,F2
399,Public,1,F2
534,0.1,0.047538461538461536,F2
534,1,0.06092307692307692,F2
534,10,0.9068461538461539,F2
534,Public,1,F2
711,0.1,0.07946153846153846,F2
711,1,0.08515384615384615,F2
711,10,0.9794615384615385,F2
711,Public,1,F2
948,0.1,0.06346153846153846,F2
948,1,0.0706923076923077,F2
948,10,0.9979230769230769,F2
948,Public,1,F2
1266,0.1,0.048846153846153845,F2
1266,1,0.15646153846153846,F2
1266,10,1,F2
1266,Public,1,F2
1686,0.1,0.05430769230769231,F2
1686,1,0.18946153846153846,F2
1686,10,1,F2
1686,Public,1,F2
2250,0.1,0.052384615384615384,F2
2250,1,0.2613846153846154,F2
2250,10,1,F2
2250,Public,1,F2
3e3,0.1,0.06823076923076923,F2
3e3,1,0.5396923076923077,F2
3e3,10,1,F2
3e3,Public,1,F2
4002,0.1,0.0683076923076923,F2
4002,1,0.742,F2
4002,10,1,F2
4002,Public,1,F2
5334,0.1,0.09407692307692307,F2
5334,1,0.9523076923076923,F2
5334,10,1,F2
5334,Public,1,F2
7113,0.1,0.15953846153846155,F2
7113,1,0.9876923076923076,F2
7113,10,1,F2
7113,Public,1,F2
9486,0.1,0.12853846153846155,F2
9486,1,0.9965384615384615,F2
9486,10,1,F2
9486,Public,1,F2
12651,0.1,0.1570769230769231,F2
12651,1,1,F2
12651,10,1,F2
12651,Public,1,F2
3,0.1,0.05,F1
3,1,0.05,F1
3,10,0.05,F1
3,Public,0.05,F1
6,0.1,0.05553846153846154,F1
6,1,0.05353846153846154,F1
6,10,0.06646153846153846,F1
6,Public,0.2373076923076923,F1
12,0.1,0.06553846153846155,F1
12,1,0.04830769230769231,F1
12,10,0.052384615384615384,F1
12,Public,0.49015384615384616,F1
30,0.1,0.07784615384615384,F1
30,1,0.05930769230769231,F1
30,10,0.08876923076923077,F1
30,Public,0.9755384615384616,F1
51,0.1,0.09076923076923077,F1
51,1,0.06461538461538462,F1
51,10,0.09776923076923077,F1
51,Public,1,F1
75,0.1,0.047,F1
75,1,0.05684615384615385,F1
75,10,0.06523076923076923,F1
75,Public,1,F1
150,0.1,0.08923076923076922,F1
150,1,0.05969230769230769,F1
150,10,0.16646153846153847,F1
150,Public,1,F1
300,0.1,0.052153846153846155,F1
300,1,0.06846153846153846,F1
300,10,0.5170769230769231,F1
300,Public,1,F1
399,0.1,0.054,F1
399,1,0.06584615384615385,F1
399,10,0.7123846153846154,F1
399,Public,1,F1
534,0.1,0.047538461538461536,F1
534,1,0.06092307692307692,F1
534,10,0.9068461538461539,F1
534,Public,1,F1
711,0.1,0.07946153846153846,F1
711,1,0.08515384615384615,F1
711,10,0.9794615384615385,F1
711,Public,1,F1
948,0.1,0.06346153846153846,F1
948,1,0.0706923076923077,F1
948,10,0.9979230769230769,F1
948,Public,1,F1
1266,0.1,0.048846153846153845,F1
1266,1,0.15646153846153846,F1
1266,10,1,F1
1266,Public,1,F1
1686,0.1,0.05430769230769231,F1
1686,1,0.18946153846153846,F1
1686,10,1,F1
1686,Public,1,F1
2250,0.1,0.052384615384615384,F1
2250,1,0.2613846153846154,F1
2250,10,1,F1
2250,Public,1,F1
3e3,0.1,0.06823076923076923,F1
3e3,1,0.5396923076923077,F1
3e3,10,1,F1
3e3,Public,1,F1
4002,0.1,0.0683076923076923,F1
4002,1,0.742,F1
4002,10,1,F1
4002,Public,1,F1
5334,0.1,0.09407692307692307,F1
5334,1,0.9523076923076923,F1
5334,10,1,F1
5334,Public,1,F1
7113,0.1,0.15953846153846155,F1
7113,1,0.9876923076923076,F1
7113,10,1,F1
7113,Public,1,F1
9486,0.1,0.12853846153846155,F1
9486,1,0.9965384615384615,F1
9486,10,1,F1
9486,Public,1,F1
12651,0.1,0.1570769230769231,F1
12651,1,1,F1
12651,10,1,F1
12651,Public,1,F1
