rowvec,colvec,power1,power2,Statistics with high power
1,1,0,0,neither
1,2,0,0,neither
1,3,0,0,neither
1,4,0,0,neither
1,5,0,0,neither
1,6,0,0,neither
2,1,0,0,neither
2,2,0,0,neither
2,3,0,0,neither
2,4,0,0.83,absvarF
2,5,0,0,neither
2,6,0,0.84,absvarF
3,1,0,0,neither
3,2,0,0.855,absvarF
3,3,0.805,0.905,both
3,4,0,0.94,absvarF
3,5,0,0.915,absvarF
3,6,0,0.905,absvarF
4,1,0,0,neither
4,2,0,0.885,absvarF
4,3,0.815,0.895,both
4,4,0.815,0.935,both
4,5,0.855,0.95,both
4,6,0.855,0.9199999999999999,both
5,1,0,0,neither
5,2,0.8300000000000001,0.915,both
5,3,0.8400000000000001,0.945,both
5,4,0.86,0.9450000000000001,both
5,5,0.865,0.945,both
5,6,0.835,0.965,both
6,1,0,0,neither
6,2,0.8500000000000001,0,absF
6,3,0.9,0.92,both
6,4,0.9,0.97,both
6,5,0.91,0.995,both
6,6,0.865,0.975,both
7,1,0,0,neither
7,2,0.915,0.805,both
7,3,0.905,0.91,both
7,4,0.925,0.94,both
7,5,0.915,0.965,both
7,6,0.915,1,both
8,1,0,0,neither
8,2,0.885,0,absF
8,3,0.965,0.84,both
8,4,0.945,0.955,both
8,5,0.935,0.97,both
8,6,0.935,0.975,both
9,1,0.8049999999999999,0,absF
9,2,0.905,0,absF
9,3,0.965,0.85,both
9,4,0.965,0.925,both
9,5,0.965,0.97,both
9,6,0.925,0.995,both
