N,exponent,Power
30,0.7,0.0588
75,0.7,0.0749
150,0.7,0.1151
300,0.7,0.2165
399,0.7,0.3291
534,0.7,0.53045
711,0.7,0.76545
948,0.7,0.93305
1266,0.7,0.9856
1686,0.7,0.9981
30,0.7999999999999999,0.05865
75,0.7999999999999999,0.0816
150,0.7999999999999999,0.14205
300,0.7999999999999999,0.35855
399,0.7999999999999999,0.63855
534,0.7999999999999999,0.87705
711,0.7999999999999999,0.97445
948,0.7999999999999999,0.99725
1266,0.7999999999999999,0.99965
1686,0.7999999999999999,1
30,0.8999999999999999,0.0597
75,0.8999999999999999,0.0878
150,0.8999999999999999,0.17625
300,0.8999999999999999,0.61145
399,0.8999999999999999,0.88085
534,0.8999999999999999,0.9825
711,0.8999999999999999,0.99795
948,0.8999999999999999,0.99985
1266,0.8999999999999999,1
1686,0.8999999999999999,1
30,1,0.05595
75,1,0.0917
150,1,0.20115
300,1,0.81165
399,1,0.9705
534,1,0.9971
711,1,0.9998
948,1,1
1266,1,1
1686,1,1
30,1.1,0.05225
75,1.1,0.08115
150,1.1,0.1534
300,1.1,0.59485
399,1.1,0.8718
534,1.1,0.98255
711,1.1,0.9984
948,1.1,0.99985
1266,1.1,1
1686,1.1,1
30,1.2,0.05475
75,1.2,0.06525
150,1.2,0.11695
300,1.2,0.3579
399,1.2,0.65865
534,1.2,0.9231
711,1.2,0.98775
948,1.2,0.99865
1266,1.2,0.9998
1686,1.2,1
30,1.3,0.0517
75,1.3,0.06305
150,1.3,0.09615
300,1.3,0.21415
399,1.3,0.40165
534,1.3,0.7412
711,1.3,0.94465
948,1.3,0.99375
1266,1.3,0.9995
1686,1.3,0.99995
30,1.4,0.04825
75,1.4,0.06005
150,1.4,0.0746
300,1.4,0.1556
399,1.4,0.25215
534,1.4,0.4658
711,1.4,0.7912
948,1.4,0.96085
1266,1.4,0.99575
1686,1.4,0.99955
