N,Power,rhos
30,0.02,A
90,0.14,A
285,0.76,A
450,0.89,A
750,0.95,A
1110,0.99,A
1650,0.99,A
2190,1,A
2730,1,A
3270,1,A
4350,1,A
4890,1,A
5970,1,A
30,0.09,B
90,0.21,B
285,0.65,B
450,0.82,B
750,0.9,B
1110,0.98,B
1650,1,B
2190,0.99,B
2730,1,B
3270,1,B
4350,1,B
4890,1,B
5970,1,B
30,0.02,C
90,0.07,C
285,0.2,C
450,0.58,C
750,0.83,C
1110,0.95,C
1650,0.99,C
2190,1,C
2730,1,C
3270,1,C
4350,1,C
4890,1,C
5970,1,C
30,0.03,D
90,0.13,D
285,0.64,D
450,0.89,D
750,1,D
1110,1,D
1650,1,D
2190,1,D
2730,1,D
3270,1,D
4350,1,D
4890,1,D
5970,1,D
30,0.046,E
90,0.08,E
150,0.156,E
210,0.472,E
270,0.782,E
330,0.932,E
390,0.972,E
450,0.988,E
510,0.998,E
570,0.998,E
630,1,E
690,1,E
750,1,E
5970,1,E
