epsilon,k,sigma,effect_size,N,exponent,Power,rho
1,3,0.1,0.5,30,0.75,0.0538,0.7
1,3,0.1,0.5,75,0.75,0.055,0.7
1,3,0.1,0.5,150,0.75,0.0668,0.7
1,3,0.1,0.5,300,0.75,0.1164,0.7
1,3,0.1,0.5,399,0.75,0.1378,0.7
1,3,0.1,0.5,534,0.75,0.1604,0.7
1,3,0.1,0.5,711,0.75,0.2678,0.7
1,3,0.1,0.5,948,0.75,0.461,0.7
1,3,0.1,0.5,1266,0.75,0.7328,0.7
1,3,0.1,0.5,1686,0.75,0.8894,0.7
1,3,0.1,0.5,30,1,0.0528,0.7
1,3,0.1,0.5,75,1,0.0514,0.7
1,3,0.1,0.5,150,1,0.0688,0.7
1,3,0.1,0.5,300,1,0.1408,0.7
1,3,0.1,0.5,399,1,0.2326,0.7
1,3,0.1,0.5,534,1,0.4956,0.7
1,3,0.1,0.5,711,1,0.7826,0.7
1,3,0.1,0.5,948,1,0.9578,0.7
1,3,0.1,0.5,1266,1,0.993,0.7
1,3,0.1,0.5,1686,1,0.9996,0.7
1,3,0.1,0.5,30,1.5,0.04,0.7
1,3,0.1,0.5,75,1.5,0.0542,0.7
1,3,0.1,0.5,150,1.5,0.0538,0.7
1,3,0.1,0.5,300,1.5,0.055,0.7
1,3,0.1,0.5,399,1.5,0.0654,0.7
1,3,0.1,0.5,534,1.5,0.064,0.7
1,3,0.1,0.5,711,1.5,0.0794,0.7
1,3,0.1,0.5,948,1.5,0.0828,0.7
1,3,0.1,0.5,1266,1.5,0.1208,0.7
1,3,0.1,0.5,1686,1.5,0.1854,0.7
1,3,0.1,0.5,30,2,0.0546,0.7
1,3,0.1,0.5,75,2,0.0534,0.7
1,3,0.1,0.5,150,2,0.0498,0.7
1,3,0.1,0.5,300,2,0.0456,0.7
1,3,0.1,0.5,399,2,0.047,0.7
1,3,0.1,0.5,534,2,0.0552,0.7
1,3,0.1,0.5,711,2,0.0502,0.7
1,3,0.1,0.5,948,2,0.0476,0.7
1,3,0.1,0.5,1266,2,0.05,0.7
1,3,0.1,0.5,1686,2,0.0538,0.7
1,3,0.1,1,30,0.75,0.0488,0.7
1,3,0.1,1,75,0.75,0.069,0.7
1,3,0.1,1,150,0.75,0.0898,0.7
