epsilon,k,sigma,effect_size,N,exponent,Power
1,3,0.1,0.5,30,0.75,0.0516
1,3,0.1,0.5,75,0.75,0.0586
1,3,0.1,0.5,150,0.75,0.0566
1,3,0.1,0.5,300,0.75,0.094
1,3,0.1,0.5,399,0.75,0.1258
1,3,0.1,0.5,534,0.75,0.175
1,3,0.1,0.5,711,0.75,0.2108
1,3,0.1,0.5,948,0.75,0.346
1,3,0.1,0.5,1266,0.75,0.5566
1,3,0.1,0.5,1686,0.75,0.7894
1,3,0.1,0.5,30,1,0.0534
1,3,0.1,0.5,75,1,0.0658
1,3,0.1,0.5,150,1,0.0708
1,3,0.1,0.5,300,1,0.1464
1,3,0.1,0.5,399,1,0.1852
1,3,0.1,0.5,534,1,0.3134
1,3,0.1,0.5,711,1,0.6148
1,3,0.1,0.5,948,1,0.8544
1,3,0.1,0.5,1266,1,0.9624
1,3,0.1,0.5,1686,1,0.9894
1,3,0.1,0.5,30,1.5,0.0528
1,3,0.1,0.5,75,1.5,0.051
1,3,0.1,0.5,150,1.5,0.0472
1,3,0.1,0.5,300,1.5,0.0584
1,3,0.1,0.5,399,1.5,0.0608
1,3,0.1,0.5,534,1.5,0.0644
1,3,0.1,0.5,711,1.5,0.0754
1,3,0.1,0.5,948,1.5,0.1024
1,3,0.1,0.5,1266,1.5,0.1084
1,3,0.1,0.5,1686,1.5,0.1476
1,3,0.1,0.5,30,2,0.042
1,3,0.1,0.5,75,2,0.0582
1,3,0.1,0.5,150,2,0.0538
1,3,0.1,0.5,300,2,0.0494
1,3,0.1,0.5,399,2,0.0578
1,3,0.1,0.5,534,2,0.0486
1,3,0.1,0.5,711,2,0.0562
1,3,0.1,0.5,948,2,0.0534
1,3,0.1,0.5,1266,2,0.0568
1,3,0.1,0.5,1686,2,0.0582
1,3,0.1,1,30,0.75,0.0566
1,3,0.1,1,75,0.75,0.0568
1,3,0.1,1,150,0.75,0.104
1,3,0.1,1,300,0.75,0.1466
1,3,0.1,1,399,0.75,0.2278
1,3,0.1,1,534,0.75,0.371
1,3,0.1,1,711,0.75,0.587
1,3,0.1,1,948,0.75,0.8138
1,3,0.1,1,1266,0.75,0.936
1,3,0.1,1,1686,0.75,0.9876
1,3,0.1,1,30,1,0.0512
1,3,0.1,1,75,1,0.058
1,3,0.1,1,150,1,0.1062
1,3,0.1,1,300,1,0.3526
1,3,0.1,1,399,1,0.6452
